student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance
1,18.5,95.6,3.8,97.9,A,Excellent
2,14.0,80.0,2.5,83.9,B,Average
3,19.5,86.3,5.3,100.0,A,Excellent
4,25.7,70.2,7.0,100.0,A,Excellent
5,13.4,81.9,6.9,92.0,A,Excellent
6,13.4,65.1,5.0,97.5,A,Excellent
7,26.1,81.8,5.9,100.0,A,Excellent
8,20.4,100.0,4.0,96.1,A,Excellent
9,11.7,100.0,8.2,69.8,C,Average
10,18.8,67.6,6.0,80.3,B,Average
11,11.8,82.3,4.6,66.4,C,Average
12,11.7,75.9,7.6,72.5,B,Average
13,16.7,77.9,2.5,95.2,A,Excellent
14,1.6,92.1,5.7,60.9,C,Average
15,2.9,90.7,5.4,52.1,D,Average
16,11.1,87.4,3.9,73.5,B,Average
17,7.9,85.9,7.7,63.0,C,Average
18,17.2,74.0,8.1,100.0,A,Excellent
19,8.6,100.0,9.0,75.4,B,Average
20,5.1,91.4,4.5,57.9,C,Average
21,25.3,89.3,6.4,100.0,A,Excellent
22,13.4,93.5,9.4,79.0,B,Average
23,15.5,100.0,8.5,76.3,B,Average
24,5.0,74.2,5.0,58.7,C,Average
25,11.2,96.1,4.9,68.3,C,Average
26,15.8,81.1,5.0,97.2,A,Excellent
27,6.9,73.6,6.1,68.4,C,Average
28,17.6,83.9,8.9,100.0,A,Excellent
29,10.8,86.2,3.4,63.6,C,Average
30,13.0,75.0,5.7,89.2,A,Excellent
31,10.8,76.6,5.0,77.4,B,Average
32,28.0,89.2,6.5,100.0,A,Excellent
33,14.9,68.4,7.2,82.6,B,Average
34,7.6,93.0,6.2,71.9,B,Average
35,20.8,85.2,7.7,97.4,A,Excellent
36,6.5,86.4,8.2,61.6,C,Average
37,16.5,86.8,4.6,99.5,A,Excellent
38,1.3,92.9,8.6,50.1,D,Average
39,5.7,93.4,8.3,56.7,C,Average
40,16.4,76.5,2.6,84.0,B,Average
41,20.2,85.6,5.6,100.0,A,Excellent
42,16.2,84.2,7.0,100.0,A,Excellent
43,14.2,76.5,6.1,63.6,C,Average
44,12.9,78.7,3.7,100.0,A,Excellent
45,4.7,100.0,3.3,55.9,C,Average
46,10.0,83.4,7.3,89.6,A,Excellent
47,11.8,89.5,3.3,78.7,B,Average
48,22.4,85.9,5.8,90.3,A,Excellent
49,17.4,79.9,7.6,71.0,B,Average
50,2.7,77.5,6.4,51.1,D,Average
51,17.3,93.8,8.8,82.7,B,Average
52,12.3,84.6,6.8,91.0,A,Excellent
53,10.3,90.3,6.0,92.7,A,Excellent
54,19.3,77.7,8.2,100.0,A,Excellent
55,22.2,80.2,4.1,100.0,A,Excellent
56,21.5,84.1,7.7,100.0,A,Excellent
57,9.1,81.4,5.4,76.9,B,Average
58,12.8,83.7,4.9,91.9,A,Excellent
59,17.3,99.0,6.9,89.5,A,Excellent
60,21.8,94.7,6.0,100.0,A,Excellent
61,11.6,80.9,2.7,71.2,B,Average
